split,method,stem,tooth_idx,slot,gt_severity,pred_severity
train,paper_eq1,10,0,1,56.37372612174318,36.317886535214896
train,mask_pca,10,0,1,42.92148037037008,37.143066000917
train,cej_int_midpoint,10,0,1,48.687029209187,36.72903441163523
train,paper_eq1,10,1,1,81.4822145329346,59.205989751277684
train,mask_pca,10,1,1,81.78508910059065,50.849212180248315
train,cej_int_midpoint,10,1,1,81.6973307243226,55.03794536252124
train,paper_eq1,10,2,1,44.42258309633081,57.77682217226293
train,mask_pca,10,2,1,46.55813501695516,52.40827042649913
train,cej_int_midpoint,10,2,1,46.5991119319298,54.792873301172094
train,paper_eq1,10,3,1,43.576125133833735,42.567163183945226
train,mask_pca,10,3,1,43.944800366069174,42.934755997273115
train,cej_int_midpoint,10,3,1,45.64433090842375,43.199796046431835
train,paper_eq1,1001,0,0,6.637346076675235,1.6358681887955313
train,paper_eq1,1001,0,1,8.853029672075525,9.847211882478351
train,mask_pca,1001,0,0,6.722184594550132,1.979411374390716
train,mask_pca,1001,0,1,10.07106454853922,10.479919693189123
train,cej_int_midpoint,1001,0,0,6.659703834152745,2.34678789967124
train,cej_int_midpoint,1001,0,1,10.773312650422843,10.076603030087222
train,paper_eq1,1001,1,1,6.731808206278222,6.923365741061425
train,mask_pca,1001,1,1,7.257177735471883,7.572156012399543
train,cej_int_midpoint,1001,1,1,3.5127338646366906,8.125156672993171
train,paper_eq1,1001,2,1,3.6910969929780837,5.5433137910575345
train,mask_pca,1001,2,1,3.9465832780729753,5.65185272488866
train,cej_int_midpoint,1001,2,1,4.066372982541874,5.667688628266847
train,paper_eq1,1003,0,1,6.04964684857206,2.1156835258805695
train,mask_pca,1003,0,1,5.935434453071904,2.1348718926826296
train,cej_int_midpoint,1003,0,1,6.171472838949763,2.133239837732215
train,paper_eq1,1003,1,1,14.702352639116215,17.60343924347218
train,mask_pca,1003,1,1,15.281397132581024,18.048956080371685
train,cej_int_midpoint,1003,1,1,15.131699792214013,17.870604185537587
train,paper_eq1,1003,2,1,91.32774302291868,85.35203389493732
train,mask_pca,1003,2,1,8.466343051444506,9.634216833463343
train,cej_int_midpoint,1003,2,1,61.2377576016194,63.56048477845029
train,paper_eq1,1005,0,1,9.128195958743785,10.029499328155724
train,mask_pca,1005,0,1,9.66615469963261,10.348563739529025
train,cej_int_midpoint,1005,0,1,9.793387253156869,10.275902060807796
train,paper_eq1,1005,1,1,9.45920510020057,9.06986244631356
train,mask_pca,1005,1,1,9.693064726801506,9.20480580315458
train,cej_int_midpoint,1005,1,1,9.665745558348071,9.131369650392255
train,paper_eq1,1005,2,1,1.408621748340559,0.9628715869128915
train,mask_pca,1005,2,1,1.478339101313414,0.8029827903306037
train,cej_int_midpoint,1005,2,1,1.6497110790886826,3.838617212706325
train,paper_eq1,1005,3,1,1.880576804093171,1.9487636202225056
train,mask_pca,1005,3,1,1.8142835021558632,1.9038778926645559
train,cej_int_midpoint,1005,3,1,1.9492746771900302,2.24587424756319
train,paper_eq1,1008,0,0,2.3660585969843226,0.9995362204118431
train,paper_eq1,1008,0,1,14.669983201887854,16.035028341855725
train,mask_pca,1008,0,0,2.3070439841371777,4.957681242148017
train,mask_pca,1008,0,1,16.073559047603904,17.779944124215323
train,cej_int_midpoint,1008,0,0,2.3214906217118405,4.493672472457534
train,cej_int_midpoint,1008,0,1,16.484441804424062,18.255644850016434
train,paper_eq1,1008,1,1,36.64207005675736,29.73660820334189
train,mask_pca,1008,1,1,39.811799089344476,36.534231662263124
train,cej_int_midpoint,1008,1,1,34.45072401686949,36.19277283875429
train,paper_eq1,1008,2,0,33.857834483965995,38.24725521255528
train,paper_eq1,1008,2,1,10.42993010114779,9.054287531669287
train,mask_pca,1008,2,0,34.51752213745301,39.29752378898144
train,mask_pca,1008,2,1,12.63857224718739,10.875627420124484
train,cej_int_midpoint,1008,2,0,34.49195318875698,39.21325858351343
train,cej_int_midpoint,1008,2,1,12.677807689595975,10.959093036652774
train,paper_eq1,1009,1,1,3.291213335655795,4.988718659090395
train,mask_pca,1009,1,1,3.441845298509674,5.051779645853675
train,cej_int_midpoint,1009,1,1,3.2573723311957536,4.931624269544139
train,paper_eq1,1009,2,1,97.07796571413282,83.11880362012167
train,mask_pca,1009,2,1,97.40932034542685,84.9277111844094
train,cej_int_midpoint,1009,2,1,97.29811860836176,84.70014493266078
train,paper_eq1,1009,3,1,17.810631221379023,16.533369969917498
train,mask_pca,1009,3,1,17.82811158915447,16.827081837860813
train,cej_int_midpoint,1009,3,1,17.819174333125464,16.76261902924029
train,paper_eq1,101,0,1,100.0,80.56990896145541
train,mask_pca,101,0,1,97.24662020737301,63.37153943663345
train,cej_int_midpoint,101,0,1,97.99421473589817,71.07816345108617
train,paper_eq1,101,1,0,100.0,74.96250233752346
train,paper_eq1,101,1,1,44.68433723651865,44.56237976517033
train,mask_pca,101,1,0,100.0,76.85141972969126
train,mask_pca,101,1,1,45.547217316255924,45.344620806722624
train,cej_int_midpoint,101,1,0,100.0,76.50164499717128
train,cej_int_midpoint,101,1,1,45.63488914877267,45.414702886898965
train,paper_eq1,1010,1,1,1.1578166027507144,2.7456011636527533
train,mask_pca,1010,1,1,1.2870444052200865,2.7339753514387617
train,cej_int_midpoint,1010,1,1,1.615106532696347,2.7724709128954963
train,paper_eq1,1010,2,1,3.505551538490011,8.66587820270509
train,mask_pca,1010,2,1,3.4622192262527696,8.929904185679998
train,cej_int_midpoint,1010,2,1,3.4535279234933722,8.961896143885907
train,paper_eq1,1011,1,1,2.0106655913608473,4.648939204010566
train,mask_pca,1011,1,1,2.1040650750968157,4.638720205604154
train,cej_int_midpoint,1011,1,1,0.11530862226575594,4.580628278476822
train,paper_eq1,1011,2,1,7.270013359941357,9.867887996853634
train,mask_pca,1011,2,1,9.11665306739607,9.704446695939382
train,cej_int_midpoint,1011,2,1,8.822921767100954,9.98515625190423
train,paper_eq1,1011,3,1,6.705314398320001,5.827980084219713
train,mask_pca,1011,3,1,6.732797851365296,5.693887582442506
train,cej_int_midpoint,1011,3,1,7.476667855625009,5.769564530288192
train,paper_eq1,1011,4,0,5.685739101600941,5.459053833571419
train,paper_eq1,1011,4,1,10.919698716495542,12.58271864374744
train,mask_pca,1011,4,0,5.870728367531684,5.320771481087713
train,mask_pca,1011,4,1,10.874018434952609,12.51561823520234
train,cej_int_midpoint,1011,4,0,6.076753115105124,5.313208880036154
train,cej_int_midpoint,1011,4,1,10.965181941398216,12.524847415036824
train,paper_eq1,1012,0,1,0.6297376570975316,0.1375903310598014
train,mask_pca,1012,0,1,0.2827412724723119,0.09672086150421906
train,cej_int_midpoint,1012,0,1,0.30277276624496097,0.0771965284355147
train,paper_eq1,1012,1,1,83.22616687354653,84.04117318238191
train,mask_pca,1012,1,1,12.046558202362434,11.853548850994347
train,cej_int_midpoint,1012,1,1,70.21833915688518,70.1645919229291
train,paper_eq1,1014,0,1,5.941936830370365,7.436497118230657
train,mask_pca,1014,0,1,5.991998815239649,7.410057926948629
train,cej_int_midpoint,1014,0,1,5.986187467501071,7.429921368478832
train,paper_eq1,1014,1,1,3.4814656882271144,3.576279007632197
train,mask_pca,1014,1,1,3.067281484806601,3.283711022521807
train,cej_int_midpoint,1014,1,1,4.102961231626886,3.7792411919715585
train,mask_pca,1015,0,1,22.059147981344747,15.159733131834821
train,cej_int_midpoint,1015,0,1,22.004832740255274,89.30395546116736
train,paper_eq1,1015,1,1,13.252112486143256,15.474033312873065
train,mask_pca,1015,1,1,13.948358603762134,16.382483542982687
train,cej_int_midpoint,1015,1,1,11.374967060868782,16.478056557655886
train,paper_eq1,1015,2,1,16.5456945295236,17.118100047777887
train,mask_pca,1015,2,1,16.87793632822842,17.48215821272159
train,cej_int_midpoint,1015,2,1,16.947083354419192,17.532249772561457
train,paper_eq1,1016,1,0,3.6718012941055673,4.058864194267099
train,paper_eq1,1016,1,1,2.567033366199303,4.533208091936956
train,mask_pca,1016,1,0,3.9840419547510284,4.2188646909641125
train,mask_pca,1016,1,1,2.80022300168238,4.679651325843503
train,cej_int_midpoint,1016,1,0,3.9085809179326936,4.198939546959417
train,cej_int_midpoint,1016,1,1,2.8724194359724966,4.70197109919713
train,paper_eq1,1016,2,1,5.504669434562823,4.179078728060072
train,mask_pca,1016,2,1,5.7315209969447265,4.276764807163897
train,cej_int_midpoint,1016,2,1,5.827787937590665,4.317311224426265
train,paper_eq1,1016,3,1,10.449947307883779,10.112569329069832
train,mask_pca,1016,3,1,11.117276754159628,10.107431132570504
train,cej_int_midpoint,1016,3,1,11.38848024194564,10.233278717732123
train,paper_eq1,1017,0,1,5.826342412471554,6.179982519226264
train,mask_pca,1017,0,1,6.0703267834218915,6.322846859818935
train,cej_int_midpoint,1017,0,1,6.077515064452286,6.285920521241615
train,paper_eq1,1017,1,0,7.00052646947186,2.2570513303723785
train,paper_eq1,1017,1,1,10.00927486575376,11.692976741475523
train,mask_pca,1017,1,0,6.614507434422275,2.2243639798511063
train,mask_pca,1017,1,1,10.005029716098257,11.683053231216721
train,cej_int_midpoint,1017,1,0,7.055286536098021,2.21697677012686
train,cej_int_midpoint,1017,1,1,9.988710357567195,11.686181313728417
train,paper_eq1,1017,2,1,14.717371488351633,15.78608257452123
train,mask_pca,1017,2,1,14.811001421760874,15.848513761490882
train,cej_int_midpoint,1017,2,1,14.79155055197801,15.82640631338434
train,paper_eq1,1018,1,0,11.92938307780214,13.590797434405408
train,paper_eq1,1018,1,1,11.149864451579758,12.053820349497995
train,mask_pca,1018,1,0,11.97738189649527,13.615674085608815
train,mask_pca,1018,1,1,11.121308454905146,12.04499534085027
train,cej_int_midpoint,1018,1,0,12.138457085273629,13.602468012641234
train,cej_int_midpoint,1018,1,1,11.165615819319266,12.046772802622332
train,paper_eq1,1018,2,0,8.432984592844846,7.025754991422488
train,mask_pca,1018,2,0,8.54706161076114,6.8639626033189804
train,mask_pca,1018,2,1,5.433186517847063,3.3980066976821877
train,paper_eq1,1019,0,0,3.450346238258585,5.33715747323012
train,paper_eq1,1019,0,1,3.175025790487989,0.3628551268013961
train,mask_pca,1019,0,0,3.533978012115324,5.889207104568893
train,mask_pca,1019,0,1,2.9690923228823904,0.3205540721216871
train,cej_int_midpoint,1019,0,0,2.942186062519171,5.840149006447199
train,paper_eq1,1019,1,0,4.8167776551450245,7.962021661090354
